img, label, ecd.nm, minor.ax.len.nm, major.ax.len.nm, ar, solidity
2, 24, 74.1052, 73.167, 75.1503, 1.02711, 0.981575
2, 25, 72.0795, 70.1497, 74.109, 1.05644, 0.983327
2, 26, 96.4661, 95.5, 97.4854, 1.02079, 0.983168
2, 27, 91.9295, 90.7047, 93.2156, 1.02768, 0.988382
2, 28, 84.4042, 84.2651, 84.6296, 1.00433, 0.985992
2, 29, 72.7137, 71.442, 74.1684, 1.03816, 0.977477
2, 30, 77.4686, 75.8897, 79.1609, 1.0431, 0.987053
2, 31, 67.8053, 66.8467, 68.8898, 1.03056, 0.969949
2, 32, 87.9066, 87.5272, 88.4005, 1.00998, 0.9866
2, 33, 86.423, 86.175, 86.7731, 1.00694, 0.984923
2, 34, 58.7411, 57.6861, 59.9009, 1.03839, 0.969968
2, 35, 57.9702, 57.3659, 58.7288, 1.02376, 0.969189
2, 36, 91.8377, 90.5833, 93.1935, 1.02882, 0.977623
2, 37, 89.7528, 88.8642, 90.8015, 1.0218, 0.9842
2, 38, 86.7585, 85.5455, 88.0545, 1.02933, 0.984314
2, 39, 81.3857, 80.4047, 82.6951, 1.02849, 0.970612
2, 40, 93.7665, 92.1992, 95.4673, 1.03545, 0.973843
2, 41, 89.3447, 88.7894, 89.9881, 1.0135, 0.971266
2, 42, 78.1311, 77.3791, 79.0539, 1.02164, 0.977198
2, 43, 72.6751, 71.4227, 74.0851, 1.03728, 0.983939
2, 44, 56.1472, 54.9294, 57.4905, 1.04663, 0.983626
2, 46, 90.8425, 89.5409, 92.243, 1.03018, 0.983911
2, 47, 77.5653, 76.16, 79.0936, 1.03852, 0.98557
2, 48, 83.7353, 82.6836, 84.8858, 1.02663, 0.984992
2, 49, 89.2397, 87.8312, 90.7718, 1.03348, 0.98791
2, 50, 80.8775, 79.8007, 82.1477, 1.02941, 0.981992
2, 51, 64.8235, 64.3398, 65.454, 1.01732, 0.983333
2, 52, 83.7353, 82.6846, 84.923, 1.02707, 0.982148
2, 53, 91.0589, 90.1518, 92.0505, 1.02106, 0.985301
2, 54, 86.5638, 85.8459, 87.3694, 1.01775, 0.984487
2, 55, 71.2557, 70.8548, 71.7846, 1.01312, 0.981522
2, 57, 76.8735, 75.8304, 78.0002, 1.02861, 0.980106
2, 58, 73.5976, 73.033, 74.2572, 1.01676, 0.982993
2, 59, 69.39, 68.6113, 70.3727, 1.02567, 0.978294
2, 60, 55.5093, 53.7793, 57.4306, 1.06789, 0.975668
2, 61, 78.3467, 78.1252, 78.6358, 1.00654, 0.984666
2, 62, 79.3687, 78.0382, 80.7935, 1.03531, 0.982461
2, 63, 64.2718, 63.7934, 64.9056, 1.01743, 0.979991
2, 64, 88.7237, 87.683, 89.8848, 1.02511, 0.984529
2, 65, 112.086, 109.421, 114.952, 1.05055, 0.975266
2, 66, 87.2217, 86.0038, 88.5396, 1.02949, 0.983762
2, 67, 77.6981, 76.6605, 78.8634, 1.02874, 0.981713
2, 68, 79.4395, 78.5714, 80.4538, 1.02396, 0.982205
